Resp_ID,Pub_ID,Last_Active,Points,Zoom,Lat,Long,WKT,GeoJSON,Activity
4tb8w8w92vn9,666js48djf88,2024-08-30 12:04:49,"78.219359,15.599548",11.17,78.219359,15.599548,POINT (15.599548 78.219359),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.599548,78.219359]}}",
8ux6yn2epu28,72bh4bsl3map,2024-08-31 11:01:59,"78.222835,15.667662",11.83,78.222835,15.667662,POINT (15.667662 78.222835),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.667662,78.222835]}}",Bird watching
8ux6yn2epu28,72bh4bsl3map,2024-08-31 11:01:59,"78.249664,15.499388",13.04,78.249664,15.499388,POINT (15.499388 78.249664),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.499388,78.249664]}}",Bird watching
7jlu2iyb33g6,72bh4bsl3map,2024-09-06 07:57:50,"78.228956,15.401543",12.2,78.228956,15.401543,POINT (15.401543 78.228956),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.401543,78.228956]}}",KSAT
7jlu2iyb33g6,72bh4bsl3map,2024-09-06 07:57:50,"78.21004,15.561444",12.2,78.21004,15.561444,POINT (15.561444 78.21004),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.561444,78.21004]}}",Bird watching
7jlu2iyb33g6,72bh4bsl3map,2024-09-06 07:57:50,"78.248756,15.506749",12.2,78.248756,15.506749,POINT (15.506749 78.248756),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.506749,78.248756]}}",Bird watching
7jlu2iyb33g6,72bh4bsl3map,2024-09-06 07:57:50,"78.221005,15.288704",12.2,78.221005,15.288704,POINT (15.288704 78.221005),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.288704,78.221005]}}",Bird watching
7jlu2iyb33g6,72bh4bsl3map,2024-09-06 07:57:50,"78.916039,11.877091",9.03,78.916039,11.877091,POINT (11.877091 78.916039),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[11.877091,78.916039]}}",Environmental research and monitoring
7jlu2iyb33g6,72bh4bsl3map,2024-09-06 07:57:50,"80.052844,18.215685",9.66,80.052844,18.215685,POINT (18.215685 80.052844),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[18.215685,80.052844]}}",Scientific observations
7jlu2iyb33g6,72bh4bsl3map,2024-09-06 07:57:50,"78.041792,14.250983",7.87,78.041792,14.250983,POINT (14.250983 78.041792),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[14.250983,78.041792]}}",Scientific monitoring and observations
7jlu2iyb33g6,72bh4bsl3map,2024-09-06 07:57:50,"78.65695,16.340654",8.13,78.65695,16.340654,POINT (16.340654 78.65695),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[16.340654,78.65695]}}",Scientific observations
7jlu2iyb33g6,72bh4bsl3map,2024-09-06 07:57:50,"77.002515,15.544524",10.88,77.002515,15.544524,POINT (15.544524 77.002515),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.544524,77.002515]}}",scientific monitoring and observations
7jlu2iyb33g6,72bh4bsl3map,2024-09-06 07:57:50,"74.400584,19.133921",6.28,74.400584,19.133921,POINT (19.133921 74.400584),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[19.133921,74.400584]}}",scientific observarions
7jlu2iyb33g6,72bh4bsl3map,2024-09-06 07:57:50,"76.552948,25.125736",6.28,76.552948,25.125736,POINT (25.125736 76.552948),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[25.125736,76.552948]}}",scientific observations
7uf2783va4h4,42o34ldj8ue8,2024-09-09 11:12:13,"78.217732,15.591631",12.2,78.217732,15.591631,POINT (15.591631 78.217732),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.591631,78.217732]}}",Birds watching
849g2geu6ie7,42o34ldj8ue8,2024-11-10 20:18:22,"78.22641,15.324716",12.2,78.22641,15.324716,POINT (15.324716 78.22641),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.324716,78.22641]}}",Animals and photography
849g2geu6ie7,42o34ldj8ue8,2024-11-10 20:18:22,"78.249912,15.486573",12.2,78.249912,15.486573,POINT (15.486573 78.249912),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.486573,78.249912]}}",Birdwatching
849g2geu6ie7,42o34ldj8ue8,2024-11-10 20:18:22,"78.216973,15.585381",12.2,78.216973,15.585381,POINT (15.585381 78.216973),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.585381,78.216973]}}","Animals and photography, birdwatching"
849g2geu6ie7,42o34ldj8ue8,2024-11-10 20:18:22,"78.218357,15.699208",12.2,78.218357,15.699208,POINT (15.699208 78.218357),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.699208,78.218357]}}",Birdwatching
849g2geu6ie7,42o34ldj8ue8,2024-11-10 20:18:22,"78.171578,16.068991",11.2,78.171578,16.068991,POINT (16.068991 78.171578),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[16.068991,78.171578]}}","Animals and photography, birdwatching"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
